"Date","AirTempMax","AirTempMean","AirTempMin","RainfallMean","RainfallSum","RHMean","RHSum"
"2020-05-19",18.53,15.5164754098361,11.18,0,0,62.2819672131148,7598.4
"2020-05-20",20.56,13.9614236111111,9.19,0.00104166666666667,0.3,45.096875,12987.9
"2020-05-21",23.16,15.9896180555556,11.59,0.00104166666666667,0.3,62.1597222222222,17902
"2020-05-22",20.32,16.0130208333333,13.67,0.0211805555555556,6.1,89.1597222222222,25678
"2020-05-23",24.87,17.9609027777778,10.54,0,0,80.1,23068.8
"2020-05-24",29.87,22.4994791666667,15.13,0,0,72.2552083333333,20809.5
"2020-05-25",32.07,24.1995486111111,18.03,0,0,74.9993055555556,21599.8
"2020-05-26",31.41,24.7382638888889,18.1,0,0,62.5993055555556,18028.6
"2020-05-27",29.09,22.9346180555556,17.42,0,0,65.9590277777778,18996.2
"2020-05-28",26.21,21.0626388888889,17.37,0.0767361111111111,22.1,84.4201388888889,24313
"2020-05-29",25.28,19.0451388888889,12.32,0.0420138888888889,12.1,89.85625,25878.6
"2020-05-30",20.79,15.0435416666667,10.25,0,0,79.0791666666667,22774.8
"2020-05-31",17.13,12.1574652777778,7.22,0,0,68.1284722222222,19621
"2020-06-01",21.8,13.5162847222222,3.22,0,0,59.6173611111111,17169.8
"2020-06-02",28.92,20.2483680555556,11.56,0.00208333333333333,0.6,61.2166666666667,17630.4
"2020-06-03",29.34,24.3863888888889,20.72,0,0,58.7545138888889,16921.3
"2020-06-04",29.07,20.3638541666667,17.08,0.0548611111111111,15.8,86.0052083333333,24769.5
"2020-06-05",25.72,20.4535416666667,17.65,0.0607638888888889,17.5,93.6666666666667,26976
"2020-06-06",27.65,22.3291666666667,18.03,0,0,73.3135416666667,21114.3
"2020-06-07",24.6,18.1869791666667,10.42,0,0,63.3604166666667,18247.8
"2020-06-08",26.84,18.8502430555556,9.73,0,0,60.3565972222222,17382.7
"2020-06-09",31.77,23.5290972222222,15.1,0,0,66.1972222222222,19064.8
"2020-06-10",29.82,25.1272569444444,18.94,0.028125,8.1,79.5607638888889,22913.5
"2020-06-11",24.19,19.6339236111111,15.68,0.00104166666666667,0.3,74.1451388888889,21353.8
"2020-06-12",24.41,18.4972569444444,11.86,0,0,65.0131944444445,18723.8
"2020-06-13",20.41,14.3532638888889,10.66,0.0298611111111111,8.6,74.0517361111111,21326.9
"2020-06-14",21.7,15.6089236111111,8.22,0,0,63.1625,18190.8
"2020-06-15",24,18.2345138888889,13.26,0,0,74.4076388888889,21429.4
"2020-06-16",25.79,19.5402777777778,12.36,0,0,65.5902777777778,18890
"2020-06-17",25.43,19.1739930555556,12.65,0,0,69.6673611111111,20064.2
"2020-06-18",26.5,20.0472916666667,15.72,0.0138888888888889,4,80.4645833333333,23173.8
"2020-06-19",27.46,20.0764236111111,15.82,0.00208333333333333,0.6,84.8840277777778,24446.6
"2020-06-20",30.24,21.9985069444444,14.55,0,0,76.4378472222222,22014.1
"2020-06-21",31.15,23.9791666666667,17.82,0,0,74.1284722222222,21349
"2020-06-22",24.85,21.0362152777778,18.53,0.0211805555555556,6.1,92.9503472222222,26769.7
"2020-06-23",24.39,20.5422569444444,16.39,0.0159722222222222,4.6,91.4277777777778,26331.2
"2020-06-24",23.57,18.6998263888889,13.47,0,0,76.4920138888889,22029.7
"2020-06-25",26.92,18.0641666666667,13.33,0.0118055555555556,3.4,83.5746527777778,24069.5
"2020-06-26",28.2,21.2336458333333,14.84,0.00208333333333333,0.6,79.9722222222222,23032
"2020-06-27",25.79,21.6169444444444,19.65,0.0145833333333333,4.2,91.6673611111111,26400.2
"2020-06-28",29.04,22.4041666666667,17.72,0.00555555555555556,1.6,87.2173611111111,25118.6
"2020-06-29",29.59,22.0497916666667,14.39,0,0,75.8694444444444,21850.4
"2020-06-30",30.8,23.2551388888889,15.68,0,0,69.7079861111111,20075.9
"2020-07-01",29.04,22.6931944444444,16.92,0,0,69.4909722222222,20013.4
"2020-07-02",31.03,23.5758333333333,16.01,0,0,67.9173611111111,19560.2
"2020-07-03",31.36,24.3351388888889,16.15,0,0,67.2659722222222,19372.6
"2020-07-04",31.59,25.0807638888889,18.72,0,0,69.5104166666667,20019
"2020-07-05",32.12,24.1884375,15.49,0,0,66.2861111111111,19090.4
"2020-07-06",33.6,25.4382291666667,17.53,0,0,66.2131944444444,19069.4
"2020-07-07",32.92,23.5345138888889,20.06,0.0555555555555556,16,79.403125,22868.1
"2020-07-08",31.18,24.5603125,18.22,0,0,80.725,23248.8
"2020-07-09",33.05,26.3464930555556,19.6,0,0,75.4538194444444,21730.7
"2020-07-10",32.79,24.1836805555556,20.29,0.0850694444444444,24.5,84.0701388888889,24212.2
"2020-07-11",27.04,21.9368402777778,19.13,0.00104166666666667,0.3,85.0475694444444,24493.7
"2020-07-12",26.67,21.0138541666667,16.7,0,0,83.0336805555555,23913.7
"2020-07-13",26.94,20.988125,16.53,0,0,78.4013888888889,22579.6
"2020-07-14",28.22,20.7212847222222,13.47,0,0,71.2548611111111,20521.4
"2020-07-15",30.12,22.8823611111111,15.44,0,0,68.7048611111111,19787
"2020-07-16",30.49,24.6836111111111,19.84,0.00104166666666667,0.3,78.85,22708.8
"2020-07-17",30.67,24.6532986111111,19.79,0.00104166666666667,0.3,75.7197916666667,21807.3
"2020-07-18",32.3,24.8663194444444,17.91,0,0,70.9822916666667,20442.9
"2020-07-19",31.71,26.4948263888889,21.44,0,0,75.690625,21798.9
"2020-07-20",30.67,24.6229166666667,20.34,0,0,73.1673611111111,21072.2
"2020-07-21",28.72,23.2820486111111,19.65,0.0184027777777778,5.3,83.2479166666667,23975.4
"2020-07-22",27.7,22.9922222222222,19.58,0.0350694444444444,10.1,89.0114583333333,25635.3
"2020-07-23",26.06,22.5663194444444,20.22,0.0395833333333333,11.4,93.4336805555556,26908.9
"2020-07-24",29.36,23.3937847222222,19.03,0.00104166666666667,0.3,79.940625,23022.9
"2020-07-25",29.46,22.7764930555556,15.8,0,0,74.7888888888889,21539.2
"2020-07-26",30.62,24.0238194444444,17.82,0,0,74.7111111111111,21516.8
"2020-07-27",32,24.3941666666667,20.03,0.0177083333333333,5.1,82.7850694444444,23842.1
"2020-07-28",28.42,23.3841666666667,19.48,0,0,77.3763888888889,22284.4
"2020-07-29",30.09,23.3901041666667,16.44,0,0,72.6402777777778,20920.4
"2020-07-30",26.33,22.4969444444444,19.01,0,0,86.2934027777778,24852.5
"2020-07-31",29.34,23.3024305555556,17.75,0,0,69.6395833333333,20056.2
"2020-08-01",26.23,21.7660763888889,18.51,0.0635416666666667,18.3,88.553125,25503.3
"2020-08-02",22.27,20.45,17.46,0.0159722222222222,4.6,94.5461805555556,27229.3
"2020-08-03",27.43,20.2954861111111,15.99,0.00833333333333333,2.4,90.240625,25989.3
"2020-08-04",24.6,19.6160069444444,17.2,0.0826388888888889,23.8,94.884375,27326.7
"2020-08-05",24.58,18.7604166666667,13.95,0,0,80.015625,23044.5
"2020-08-06",26.67,20.0594444444444,14.17,0,0,73.7336805555556,21235.3
"2020-08-07",27.95,21.0378472222222,15.15,0,0,72.2152777777778,20798
"2020-08-08",27.48,20.3028125,13.4,0,0,74.3545138888889,21414.1
"2020-08-09",29.56,22.3031597222222,14.6,0,0,75.1142361111111,21632.9
"2020-08-10",31.41,24.5983680555556,18.25,0,0,73.7371527777778,21236.3
"2020-08-11",29.92,24.3395138888889,20.34,0,0,76.3895833333333,22000.2
"2020-08-12",29.69,23.0887152777778,17.53,0,0,78.9003472222222,22723.3
"2020-08-13",32.2,24.6329861111111,16.8,0,0,68.9170138888889,19848.1
"2020-08-14",30.9,25.4042361111111,21.44,0,0,68.3229166666667,19677
"2020-08-15",23.42,20.5798958333333,15.44,0,0,82.6847222222222,23813.2
"2020-08-16",26.84,19.8070833333333,13.69,0,0,84.7003472222222,24393.7
"2020-08-17",28.02,19.696875,15.25,0.0197916666666667,5.7,84.33125,24287.4
"2020-08-18",26.48,19.4629861111111,14.17,0.00104166666666667,0.3,78.1145833333333,22497
"2020-08-19",24.7,17.6765972222222,10.66,0,0,67.9340277777778,19565
"2020-08-20",28.17,19.1589583333333,9.36,0,0,62.7013888888889,18058
"2020-08-21",29.39,21.6522916666667,14.1,0.00104166666666667,0.3,66.2548611111111,19081.4
"2020-08-22",32.54,23.6766666666667,16.22,0,0,73.7652777777778,21244.4
"2020-08-23",29.89,23.4334375,18.37,0.00520833333333333,1.5,79.0145833333333,22756.2
"2020-08-24",30.98,23.9894791666667,19.1,0,0,78.6555555555556,22652.8
"2020-08-25",31.84,23.6388888888889,16.72,0.00902777777777778,2.6,78.2864583333333,22546.5
"2020-08-26",28.82,20.9811805555556,14.15,0.00208333333333333,0.6,84.6524305555556,24379.9
"2020-08-27",30.42,24.0038888888889,18.82,0.111458333333333,32.1,86.1145833333333,24801
"2020-08-28",28.59,22.2984375,19.79,0.104861111111111,30.2,96.9173611111111,27912.2
"2020-08-29",26.67,21.5578125,17.3,0.00104166666666667,0.3,88.1072916666667,25374.9
"2020-08-30",24.53,17.9889236111111,13.14,0,0,79.3611111111111,22856
"2020-08-31",23.74,18.3557986111111,13.35,0,0,86.7413194444444,24981.5
"2020-09-01",28.54,23.105,18.82,0,0,86.5920138888889,24938.5
"2020-09-02",27.31,22.6227777777778,20.08,0.0177083333333333,5.1,93.9673611111111,27062.6
"2020-09-03",24.77,20.9309722222222,18.39,0.00520833333333333,1.5,94.2409722222222,27141.4
"2020-09-04",24.29,19.5159375,12.85,0,0,73.2020833333333,21082.2
"2020-09-05",26.26,17.8630902777778,10.03,0,0,70.7246527777778,20368.7
"2020-09-06",25.31,19.2787152777778,13.04,0,0,72.1534722222222,20780.2
"2020-09-07",24.73,19.1682638888889,17.42,0.0944444444444444,27.2,85.3222222222222,24572.8
"2020-09-08",29.34,22.2176736111111,17.03,0.00104166666666667,0.3,83.9347222222222,24173.2
"2020-09-09",30.37,22.9370833333333,16.56,0,0,82.4899305555556,23757.1
"2020-09-10",28.49,21.9003125,17.44,0,0,87.9055555555556,25316.8
"2020-09-11",20.13,17.9392361111111,14.43,0,0,89.8427083333333,25874.7
"2020-09-12",28.25,20.1148611111111,13.18,0,0,87.8649305555556,25305.1
"2020-09-13",24.29,20.9603125,17.01,0.00972222222222222,2.8,91.253125,26280.9
"2020-09-14",20.7,16.2125347222222,10.69,0.00104166666666667,0.3,82.0027777777778,23616.8
"2020-09-15",19.89,12.6147569444444,5.74,0,0,76.8319444444444,22127.6
"2020-09-16",24.05,15.6987152777778,8.89,0,0,83.4649305555556,24037.9
"2020-09-17",19.96,15.9852083333333,11.86,0,0,90.5684027777778,26083.7
"2020-09-18",18.46,13.1619444444444,6.86,0,0,75.9951388888889,21886.6
"2020-09-19",17.77,9.85170138888889,2.37,0,0,65.6256944444444,18900.2
"2020-09-20",19.6,11.4730902777778,3.17,0,0,63.7461805555556,18358.9
"2020-09-21",19.84,11.8187152777778,5.31,0,0,63.8788194444444,18397.1
"2020-09-22",21.27,12.3406944444444,3.93,0,0,71.0434027777778,20460.5
"2020-09-23",24.99,16.2934027777778,9.16,0,0,73.9864583333333,21308.1
"2020-09-24",24.19,17.5910416666667,13.4,0,0,82.19375,23671.8
"2020-09-25",25.89,18.0713194444444,12.1,0,0,80.6982638888889,23241.1
"2020-09-26",25.55,18.5345486111111,13.23,0,0,81.9836805555556,23611.3
"2020-09-27",25.14,19.1975694444444,14.98,0,0,83.5489583333333,24062.1
"2020-09-28",25.7,19.015625,12.9,0.0517361111111111,14.9,84.5614583333333,24353.7
"2020-09-29",16.15,12.4260416666667,10.08,0.0555555555555556,16,93.8569444444445,27030.8
"2020-09-30",17.15,12.3601736111111,8.47,0.00208333333333333,0.6,86.9138888888889,25031.2
"2020-10-01",18.06,10.7935763888889,6.71,0.00486111111111111,1.4,81.1447916666667,23369.7
"2020-10-02",14.53,8.95208333333333,4.79,0,0,80.9506944444445,23313.8
"2020-10-03",15.84,8.98072916666667,2.69,0,0,79.3104166666667,22841.4
"2020-10-04",19.17,11.9430555555556,8.02,0.0236111111111111,6.8,77.9017361111111,22435.7
"2020-10-05",15.58,9.68756944444444,5.69,0.00416666666666667,1.2,86.4857638888889,24907.9
"2020-10-06",18.65,11.1677430555556,3.98,0,0,77.0135416666667,22179.9
"2020-10-07",22.94,16.0128125,9.85,0,0,63.5579861111111,18304.7
"2020-10-08",19.1,11.6900694444444,6.41,0,0,74.2069444444444,21371.6
"2020-10-09",23.4,14.6869791666667,7.12,0,0,65.0361111111111,18730.4
"2020-10-10",22.7,17.9728125,14.7,0,0,84.865625,24441.3
"2020-10-11",19.79,17.5168055555556,15.84,0.00104166666666667,0.3,96.9253472222222,27914.5
"2020-10-12",21.7,17.784375,14.22,0,0,87.0024305555555,25056.7
"2020-10-13",17.08,12.8873263888889,8.94,0.0357638888888889,10.3,75.2052083333333,21659.1
"2020-10-14",19.86,12.6610069444444,6.84,0,0,68.1895833333333,19638.6
"2020-10-15",19.13,13.5633680555556,8.02,0.009375,2.7,73.2965277777778,21109.4
"2020-10-16",12.9,7.89444444444444,2.45,0,0,74.0729166666667,21333
"2020-10-17",14.65,6.79440972222222,0.8,0,0,61.6680555555556,17760.4
"2020-10-18",16.18,10.3985416666667,5.54,0.00104166666666667,0.3,64.0302083333333,18440.7
"2020-10-19",13.62,11.8902083333333,10.08,0.0440972222222222,12.7,91.1694444444445,26256.8
"2020-10-20",14.74,12.2053125,10.47,0.0430555555555556,12.4,99.4354166666667,28637.4
"2020-10-21",21.46,16.8335416666667,13.18,0.00208333333333333,0.6,95.2739583333333,27438.9
"2020-10-22",25.72,18.9553819444444,14.7,0,0,80.6482638888889,23226.7
"2020-10-23",25.82,19.1531944444444,14.12,0.0302083333333333,8.7,76.9045138888889,22148.5
"2020-10-24",16.42,8.40916666666667,4.14,0.009375,2.7,86.69375,24967.8
"2020-10-25",11.1,5.95878472222222,1.94,0.0128472222222222,3.7,83.1635416666667,23951.1
"2020-10-26",10.69,8.37638888888889,7.09,0.003125,0.9,96.8586805555556,27895.3
"2020-10-27",9.19,7.70302083333333,6.51,0.00416666666666667,1.2,96.5041666666667,27793.2
"2020-10-28",10.96,8.94013888888889,7.59,0.0114583333333333,3.3,97.3708333333333,28042.8
"2020-10-29",8.94,8.03704861111111,7.14,0.0913194444444444,26.3,99.6114583333333,28688.1
"2020-10-30",7.27,5.32597222222222,0.66,0.025,7.2,89.7163194444445,25838.3
"2020-10-31",9.36,3.47770833333333,-2.13,0,0,78.7840277777778,22689.8
"2020-11-01",11.49,5.98822916666667,-0.79,0.003125,0.9,72.2756944444444,20815.4
"2020-11-02",6.08,2.08975694444444,-1.21,0,0,61.4121527777778,17686.7
"2020-11-03",13.64,7.04798611111111,1.45,0,0,49.8628472222222,14360.5
"2020-11-04",19.63,12.1205902777778,5.59,0,0,51.0402777777778,14699.6
"2020-11-05",20.44,14.0546527777778,8.67,0,0,51.665625,14879.7
"2020-11-06",20.25,13.3463888888889,7.47,0,0,61.0472222222222,17581.6
"2020-11-07",21.82,14.1088541666667,7.47,0,0,57.9614583333333,16692.9
"2020-11-08",24.58,16.2752777777778,10.17,0,0,52.3868055555556,15087.4
"2020-11-09",24,16.5679861111111,10.93,0,0,61.9993055555556,17855.8
"2020-11-10",25.19,18.3342013888889,12.36,0,0,67.0399305555556,19307.5
"2020-11-11",20.1,14.6419444444444,6.2,0.046875,13.5,87.3138888888889,25146.4
"2020-11-12",11.44,6.15972222222222,2.07,0,0,74.8559027777778,21558.5
"2020-11-13",12.32,5.96385416666667,1.51,0,0,72.0784722222222,20758.6
"2020-11-14",7.82,2.87756944444444,-3.6,0,0,71.565625,20610.9
"2020-11-15",14.7,10.0508536585366,7.12,0.0432926829268293,7.1,66.2823170731707,10870.3
